id,name,artists,album,images,image_sizes,release_dt,duration,popularity,explicit,dance,energy,loud,speech,acoustic,instrument,live,valence,tempo,tempo_conf,key,key_conf,mode,mode_conf,time_sig,time_sig_conf,All Out 2000s,All Out 50s,All Out 60s,All Out 70s,All Out 80s,All Out 90s,Are & Be,Classical Garden,Fresh Finds Country,Fresh Finds Dance,Fresh Finds Experimental,Fresh Finds Hip-Hop,Fresh Finds Indie,Fresh Finds Latin,Fresh Finds Pop,Fresh Finds Presents... Class of 2019,Fresh Finds R&B,Fresh Finds Rock,Hot Country,Melantronic,Music for Plants,New Music Friday,Peaceful Piano,RapCaviar,Rock Classics,Rock This,Signed XOXO,Soft Pop Hits,Today's Top Hits ,Viva Latino,just hits,mint
3BHFResGQiUvbYToUdaDQz,Enough Is Enough,['Post Malone'],AUSTIN,"['https://i.scdn.co/image/ab67616d0000b27371cae34ad5a39bdab78af13e', 'https://i.scdn.co/image/ab67616d00001e0271cae34ad5a39bdab78af13e', 'https://i.scdn.co/image/ab67616d0000485171cae34ad5a39bdab78af13e']","[(640, 640), (300, 300), (64, 64)]",2023-07-28,165.17537,82,True,0.483,0.768,-4.911,0.0344,0.014,0.0,0.109,0.332,165.996,0.457,0,0.939,1,0.677,4,0.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
5L3ecxQnQ9qTBmnLQiwf0C,K-POP,"['Travis Scott', 'Bad Bunny', 'The Weeknd']",K-POP,"['https://i.scdn.co/image/ab67616d0000b273893489768de0c42b4d217b82', 'https://i.scdn.co/image/ab67616d00001e02893489768de0c42b4d217b82', 'https://i.scdn.co/image/ab67616d00004851893489768de0c42b4d217b82']","[(640, 640), (300, 300), (64, 64)]",2023-07-21,185.22073,92,True,0.814,0.618,-5.614,0.0619,0.0386,3.34e-06,0.671,0.535,121.075,0.465,5,0.73,0,0.659,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
741UUVE2kuITl0c6zuqqbO,Barbie World (with Aqua) [From Barbie The Album],"['Nicki Minaj', 'Ice Spice', 'Aqua']",Barbie World (with Aqua) [From Barbie The Album],"['https://i.scdn.co/image/ab67616d0000b2737e8f938c02fac3b564931116', 'https://i.scdn.co/image/ab67616d00001e027e8f938c02fac3b564931116', 'https://i.scdn.co/image/ab67616d000048517e8f938c02fac3b564931116']","[(640, 640), (300, 300), (64, 64)]",2023-06-23,109.75016,94,True,0.77,0.58,-8.393,0.247,0.519,0.000127,0.233,0.753,144.072,0.05,0,0.558,1,0.46,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1vYXt7VSjH9JIM5oRRo7vA,Dance The Night (From Barbie The Album),['Dua Lipa'],Dance The Night (From Barbie The Album),"['https://i.scdn.co/image/ab67616d0000b2737dd3ba455ee3390cb55b0192', 'https://i.scdn.co/image/ab67616d00001e027dd3ba455ee3390cb55b0192', 'https://i.scdn.co/image/ab67616d000048517dd3ba455ee3390cb55b0192']","[(640, 640), (300, 300), (64, 64)]",2023-05-25,176.57932,96,False,0.671,0.845,-4.93,0.048,0.0207,0.0,0.329,0.775,110.056,0.833,11,0.603,0,0.575,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3k79jB4aGmMDUQzEwa46Rz,vampire,['Olivia Rodrigo'],vampire,"['https://i.scdn.co/image/ab67616d0000b2731e5e75dc1d878a0007cb6525', 'https://i.scdn.co/image/ab67616d00001e021e5e75dc1d878a0007cb6525', 'https://i.scdn.co/image/ab67616d000048511e5e75dc1d878a0007cb6525']","[(640, 640), (300, 300), (64, 64)]",2023-06-30,219.72408,98,True,0.511,0.532,-5.745,0.056,0.169,0.0,0.311,0.322,136.874,0.694,5,0.673,1,0.513,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",['Billie Eilish'],"What Was I Made For? [From The Motion Picture ""Barbie""]","['https://i.scdn.co/image/ab67616d0000b273ed317ec13d3de9e01fb99c9e', 'https://i.scdn.co/image/ab67616d00001e02ed317ec13d3de9e01fb99c9e', 'https://i.scdn.co/image/ab67616d00004851ed317ec13d3de9e01fb99c9e']","[(640, 640), (300, 300), (64, 64)]",2023-07-13,222.36957,96,False,0.444,0.0911,-17.665,0.0307,0.959,1.05e-06,0.098,0.142,79.449,0.069,0,0.491,1,0.651,4,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6WzRpISELf3YglGAh7TXcG,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,"['The Weeknd', 'Playboi Carti', 'Madonna']",Popular (Music from the HBO Original Series),"['https://i.scdn.co/image/ab67616d0000b2734c8f092adc59b4bf4212389d', 'https://i.scdn.co/image/ab67616d00001e024c8f092adc59b4bf4212389d', 'https://i.scdn.co/image/ab67616d000048514c8f092adc59b4bf4212389d']","[(640, 640), (300, 300), (64, 64)]",2023-06-02,215.46689,93,True,0.855,0.678,-6.276,0.189,0.0569,3.69e-05,0.412,0.852,99.022,0.778,1,0.423,1,0.506,4,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5sdQOyqq2IDhvmx2lHOpwd,Super Shy,['NewJeans'],NewJeans 'Super Shy',"['https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af', 'https://i.scdn.co/image/ab67616d00001e023d98a0ae7c78a3a9babaf8af', 'https://i.scdn.co/image/ab67616d000048513d98a0ae7c78a3a9babaf8af']","[(640, 640), (300, 300), (64, 64)]",2023-07-07,154.66667,95,False,0.776,0.817,-6.018,0.0748,0.18,3.44e-05,0.146,0.515,149.921,0.793,5,0.887,0,0.742,4,0.987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto) (Explicit Ver.),"['Jung Kook', 'Latto']",Seven (feat. Latto),"['https://i.scdn.co/image/ab67616d0000b273bf5cce5a0e1ed03a626bdd74', 'https://i.scdn.co/image/ab67616d00001e02bf5cce5a0e1ed03a626bdd74', 'https://i.scdn.co/image/ab67616d00004851bf5cce5a0e1ed03a626bdd74']","[(640, 640), (300, 300), (64, 64)]",2023-07-14,184.4,100,True,0.802,0.832,-4.107,0.0434,0.311,0.0,0.0815,0.89,124.986,0.763,11,0.254,1,0.412,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,['Taylor Swift'],Lover,"['https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647', 'https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647', 'https://i.scdn.co/image/ab67616d00004851e787cffec20aa2a396a61647']","[(640, 640), (300, 300), (64, 64)]",2019-08-23,178.42667,99,False,0.552,0.702,-5.707,0.157,0.117,2.06e-05,0.105,0.564,169.994,0.581,9,0.478,1,0.366,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
